ID,Company name Latin alphabet,NAICS 2017; primary code(s),"Operating P/L [=EBIT]th USD 2021","Operating P/L [=EBIT]th USD 2020","Operating P/L [=EBIT]th USD 2019","Operating P/L [=EBIT]th USD 2018","Operating P/L [=EBIT]th USD 2017","Operating P/L [=EBIT]th USD 2016","Operating P/L [=EBIT]th USD 2015","Operating P/L [=EBIT]th USD 2014","Operating P/L [=EBIT]th USD 2013","Operating P/L [=EBIT]th USD 2012","P/L for period [=Net income]th USD 2021","P/L for period [=Net income]th USD 2020","P/L for period [=Net income]th USD 2019","P/L for period [=Net income]th USD 2018","P/L for period [=Net income]th USD 2017","P/L for period [=Net income]th USD 2016","P/L for period [=Net income]th USD 2015","P/L for period [=Net income]th USD 2014","P/L for period [=Net income]th USD 2013","P/L for period [=Net income]th USD 2012","Total assetsth USD 2021","Total assetsth USD 2020","Total assetsth USD 2019","Total assetsth USD 2018","Total assetsth USD 2017","Total assetsth USD 2016","Total assetsth USD 2015","Total assetsth USD 2014","Total assetsth USD 2013","Total assetsth USD 2012","Cash & cash equivalentth USD 2021","Cash & cash equivalentth USD 2020","Cash & cash equivalentth USD 2019","Cash & cash equivalentth USD 2018","Cash & cash equivalentth USD 2017","Cash & cash equivalentth USD 2016","Cash & cash equivalentth USD 2015","Cash & cash equivalentth USD 2014","Cash & cash equivalentth USD 2013","Cash & cash equivalentth USD 2012","Total Current Liabilitiesth USD 2021","Total Current Liabilitiesth USD 2020","Total Current Liabilitiesth USD 2019","Total Current Liabilitiesth USD 2018","Total Current Liabilitiesth USD 2017","Total Current Liabilitiesth USD 2016","Total Current Liabilitiesth USD 2015","Total Current Liabilitiesth USD 2014","Total Current Liabilitiesth USD 2013","Total Current Liabilitiesth USD 2012","Income Tax Payableth USD 2021","Income Tax Payableth USD 2020","Income Tax Payableth USD 2019","Income Tax Payableth USD 2018","Income Tax Payableth USD 2017","Income Tax Payableth USD 2016","Income Tax Payableth USD 2015","Income Tax Payableth USD 2014","Income Tax Payableth USD 2013","Income Tax Payableth USD 2012","Depreciationth USD 2021","Depreciationth USD 2020","Depreciationth USD 2019","Depreciationth USD 2018","Depreciationth USD 2017","Depreciationth USD 2016","Depreciationth USD 2015","Depreciationth USD 2014","Depreciationth USD 2013","Depreciationth USD 2012"
334,WOODWARD; INC.,333611,262847,265109,318839,276358,278656,239540,264433,249149,224955,222232,208649,240395,259602,180378,200507,180838,181452,165844,145942,141589,4091004,3903336,3956526,3790649,2757109,2642362,2512404,2397202,2218518,1859964,446555,149773,99073,83594,87552,81090,82202,115287,48556,61829,366257,392332,707436,591178,427234,480613,338208,340016,415930,279868,11481,4662,18849,16745,13225,11099,6555,6602,8648,14941,-87631,-91700,-85982,-71389,-55140,-41550,-45994,-43773,-37254,-35808
335,VISTA OUTDOOR INC.,332993,n.a.,272962,-131803,-610285,-84575,-237051,262758,184154,233807,101455,n.a.,266012,-155079,-648443,-60232,-274454,147037,79528,133257,64692,n.a.,1764939,1391289,1738023,2614836,2976747,2942634,2512446,2457621,797812,n.a.,243265,31375,21935,22870,45075,151692,263951,40004,67,n.a.,370817,246701,317197,345220,346389,368901,307912,332960,214577,n.a.,n.a.,0,436,n.a.,0,13474,10717,6183,2463,n.a.,-45264,-47863,-53129,-55090,-54157,-38953,-35405,-24891,-17298
336,SEAGEN INC,325414,n.a.,596852,-220545,-251498,-195801,-142725,-120950,-77363,-62861,-57254,n.a.,613670,-158650,-222693,-125530,-140111,-120486,-76141,-62520,-53782,n.a.,4000906,2205866,1503329,877949,838396,895095,458965,483898,471422,n.a.,2559420,811055,410672,413171,588986,649651,313413,374267,364258,n.a.,388138,259357,225072,167129,148516,134266,125893,99198,100577,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-36045,-23800,-25332,-23500,-17300,-13705,-11700,-8615,-6159
337,ITRON INC,334220,n.a.,86435,138961,27491,161295,150083,45583,49962,-103516,152791,n.a.,-57955,49006,-99250,57298,31770,12678,-23670,-153153,108275,n.a.,2607023,2707841,2608982,2106147,1577811,1680316,1751747,1882511,2089441,n.a.,206933,149904,120221,176274,133565,131018,112371,124805,136411,n.a.,549899,671391,652707,507783,413046,477774,520069,455012,467373,n.a.,15804,22193,14753,16100,10451,14859,21951,10700,9305,n.a.,-52579,-50114,-50784,-42430,-43206,-44320,-54520,-57227,-61661
338,TRAVEL + LEISURE CO.,721110,n.a.,22000,798000,758000,479000,670000,941000,952000,920000,864000,n.a.,-255000,507000,672000,854000,611000,612000,529000,432000,400000,n.a.,7613000,7453000,7158000,10450000,9819000,9591000,9679000,9741000,9463000,n.a.,1196000,355000,243000,48000,127000,171000,183000,194000,195000,n.a.,1281000,1407000,1588000,1638000,2032000,1957000,1859000,1790000,1931000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-116000,-113000,-126000,-125000,-116000,-157000,-196000,-180000,-154000
339,WEST PHARMACEUTICAL SERVICES; INC.,339112,n.a.,410000,297900,250500,240000,225900,128600,181100,161900,135900,n.a.,346200,241700,206900,150700,143600,95600,127100,112300,80700,n.a.,2793800,2341400,1978900,1862800,1716700,1695100,1669700,1671600,1564000,n.a.,615500,439100,337400,235900,203000,274600,255300,230000,174300,n.a.,503400,341600,283700,279500,241000,314300,252500,236900,261800,n.a.,26000,6400,9800,6000,4500,12800,14900,14600,23400,n.a.,-104700,-100000,-101700,-94300,-88100,-86100,-84800,-81000,-72800
340,RENEWABLE ENERGY GROUP; INC.,325199,n.a.,126853,383475,316830,-56033,70211,-154733,85507,193310,15901,n.a.,122813,362828,292316,-79079,44327,-151392,82480,168039,7520,n.a.,1461398,1785349,1107096,1005596,1136603,1223620,1367736,740855,495784,n.a.,233962,50436,174507,77627,116210,47081,80286,153227,66785,n.a.,245970,588420,294678,204935,233545,293971,285311,98237,39844,n.a.,5569,15240,4473,1501,1603,0,14899,3687,n.a.,n.a.,-37315,-36298,-36246,-33779,-31363,-24997,-15255,-9705,-8024
341,BWX TECHNOLOGIES INC.,332410,n.a.,311000,295531,275041,278527,248723,175671,15917,280670,279880,n.a.,278670,244115,226958,147844,183057,131465,29388,346078,227695,n.a.,2293503,1908913,1655096,1712339,1579815,1375398,2856936,2609153,2840355,n.a.,46317,92383,33468,206338,140158,158205,128461,356864,472316,n.a.,529727,404709,377348,528126,439876,353780,819635,927228,1079288,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6551,9973,n.a.,-51850,-52594,-48607,-47347,-48400,-76722,-102755,-66490,-59400
342,NORDSON CORP,325520,n.a.,349545,483113,502579,466402,399206,329141,369656,324975,338004,n.a.,249539,337091,377375,295802,271843,211111,246773,221817,224829,n.a.,3674656,3516447,3421012,3414539,2420583,2360444,2280130,2053179,1829515,n.a.,208293,151164,95678,90383,67239,50268,42314,42375,41518,n.a.,363089,477626,350280,647746,331543,290776,370868,236797,343684,n.a.,7841,15601,19319,22310,22762,29898,17749,15848,27354,n.a.,-56323,-55454,-52959,-45947,-41243,-37707,-34446,-31766,-24469
343,ASHLAND GLOBAL HOLDINGS INC.,325211,236000,-369000,155000,351000,220000,407000,525000,153000,1051000,313000,220000,-508000,505000,114000,1000,-29000,309000,233000,683000,26000,6612000,6877000,7251000,8259000,8618000,10000000,10054000,10920000,12088000,12524000,210000,454000,232000,294000,566000,1017000,1257000,1393000,346000,523000,934000,813000,757000,1076000,968000,1238000,1442000,1687000,1727000,1913000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-154000,-151000,-188000,-184000,-185000,-226000,-263000,-268000,-266000,-266000
344,TTM TECHNOLOGIES INC,334412,n.a.,44856,115009,123631,213950,182404,68723,46539,72573,-142017,n.a.,177535,41301,173584,124214,34861,-25882,14693,21877,-174595,n.a.,2895944,3560933,3457503,2781882,2500076,2640133,1601289,1673575,1676962,n.a.,451593,400155,256360,409433,256277,259100,279042,331201,285450,n.a.,518046,946666,673214,720356,689065,744994,496012,458003,369880,n.a.,2428,12899,11345,21993,n.a.,n.a.,4923,7159,n.a.,n.a.,-120947,-166574,-162708,-150809,-156229,-133508,-95392,-92120,-84286
345,KONTOOR BRANDS; INC.,315220,n.a.,149234,192890,353442,366918,430298,n.a.,n.a.,n.a.,n.a.,n.a.,67923,96654,263073,116191,315030,n.a.,n.a.,n.a.,n.a.,n.a.,1545816,1517156,2458465,2126410,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,248138,106808,96776,80811,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,413635,378550,616824,637851,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6328,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-32791,-27760,-26835,-29428,-29851,n.a.,n.a.,n.a.,n.a.
346,WYNN RESORTS; LIMITED,721120,n.a.,-1232045,878305,1199101,1055565,521662,658814,1266278,1290091,1029276,n.a.,-2067245,122985,572430,747181,241975,195290,731554,728652,502036,n.a.,13869547,13871281,13216269,12681739,11953557,10459159,9062861,8377030,7276594,n.a.,3482032,2351904,2215001,2971247,2626559,2195386,2422304,2609440,1864106,n.a.,1880888,1982884,1882063,1930290,1416301,1110171,1308318,1455534,1131377,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4035,5197,n.a.,-725502,-624878,-550596,-552368,-404730,-322629,-314119,-367400,-368745
347,EDGEWELL PERSONAL CARE COMPANY,325620,280100,253100,-259300,305900,44200,351000,9700,313600,310800,688100,117000,67600,-372200,103300,5700,178700,-275300,356100,407000,408900,3674600,3540900,3420900,3953300,4188800,4771500,4991700,6928700,6717400,6731200,479200,364700,341600,266400,502900,738900,712100,1129000,998300,718500,536800,510500,659600,717000,524400,868200,666800,1573700,1153400,1307500,9800,13400,11500,20300,18300,19700,25300,42500,0,25200,-65300,-66300,-76100,-79900,-76600,-78200,-100200,-118300,-124400,-139500
348,ALLISON TRANSMISSION HOLDINGS; INC.,336350,n.a.,541000,892000,923000,652000,451500,428900,512100,409900,420200,n.a.,299000,604000,639000,504000,214900,182300,228600,165400,514200,n.a.,4477000,4450000,4237000,4205000,4218600,4408400,4656200,4812600,4866000,n.a.,310000,192000,231000,199000,204700,251600,263000,184700,80200,n.a.,373000,417000,426000,417000,342200,304600,345900,387200,377800,n.a.,11000,12000,10000,10000,9900,12600,8500,8600,6900,n.a.,-96000,-81000,-77000,-80000,-83500,-88300,-93800,-98700,-102500
349,AEROJET ROCKETDYNE HOLDINGS; INC.,336390,n.a.,248700,238500,270800,186500,164600,85200,74000,26800,36000,n.a.,137700,141000,137300,-9200,17600,-16200,-53000,164700,-2600,n.a.,2899900,2707800,2490100,2258700,2249500,2034900,1918600,1755300,919300,n.a.,1156500,932600,735300,555000,410300,211100,265900,197600,162100,n.a.,1455700,869900,878300,594800,583700,554100,566400,479700,318600,n.a.,n.a.,0,19800,800,2100,15500,16200,0,9400,n.a.,-51900,-60900,-58600,-58900,-51600,-51700,-50200,-37300,-22300
350,HYATT HOTELS CORPORATION,721110,n.a.,-694000,179000,285000,260000,268000,318000,262000,211000,159000,n.a.,-703000,766000,769000,389000,206000,124000,344000,207000,88000,n.a.,9129000,8417000,7643000,7572000,7749000,7591000,8143000,8177000,7630000,n.a.,1882000,961000,860000,708000,647000,503000,1098000,543000,952000,n.a.,984000,1086000,1061000,992000,924000,1107000,730000,871000,618000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-283000,-304000,-312000,-335000,-315000,-289000,-324000,-320000,-327000
351,G III APPAREL GROUP LTD,315990,n.a.,85060,227654,230714,154727,101264,184484,164895,130827,100178,n.a.,23545,143837,138067,62124,51938,114333,110361,77360,56875,n.a.,2436386,2565137,2208058,1915177,1851944,1184070,1043761,830897,717772,n.a.,351934,197372,70138,45776,79957,132587,128354,22091,27360,n.a.,402002,613960,580788,347167,315419,244804,238206,241226,233216,n.a.,11853,8468,8859,19748,2242,n.a.,n.a.,n.a.,12181,n.a.,-34325,-34235,-34219,-33283,-29981,-23492,-18374,-12076,-8741
352,BENCHMARK ELECTRONICS INC,334412,n.a.,39404,49327,67903,85454,89399,106830,105704,84547,86787,n.a.,14055,23425,22817,-31901,63933,95401,81241,111159,56607,n.a.,1744235,1759874,1899783,2109304,1998668,1893878,1675348,1657371,1501477,n.a.,390808,347558,458102,742546,681433,465995,427376,345555,384579,n.a.,481136,459245,537159,478317,412381,333094,359078,398377,330515,n.a.,5572,7895,10435,11663,3534,5069,5450,9570,3828,n.a.,-37739,-37112,-38439,-36668,-41398,-42822,-41259,-31416,-33013
353,UNISYS CORP,541512,n.a.,87000,137900,212100,97100,129200,-55100,154900,219500,319200,n.a.,750700,-17200,75500,-65300,-47700,-109900,44000,92300,129400,n.a.,2707900,2504000,2457600,2542400,2021600,2130000,2348700,2510000,2420400,n.a.,898500,538800,605000,733900,370600,365200,494300,639800,655600,n.a.,935100,927300,923300,971600,981600,961100,997700,1024800,1030300,n.a.,41200,28600,32300,26000,35300,n.a.,4900,40900,47800,n.a.,-95500,-99100,-107200,-93400,-90800,-113200,-110100,-100200,-112600
354,NEWMARKET CORPORATION,325110,n.a.,311802,337321,292674,322734,354759,356720,362720,351845,358433,n.a.,270568,254286,234734,190509,243441,238603,233255,264742,239593,n.a.,1933875,1885132,1697274,1712154,1416436,1286249,1231925,1327274,1264248,n.a.,125172,144397,73040,84166,192154,93424,103003,238703,89129,n.a.,312455,308895,271301,316793,294590,263680,259674,247614,216671,n.a.,3760,10632,6431,16340,17573,12773,6462,11419,10024,n.a.,-81095,-83354,-64346,-52495,-42893,-42265,-41538,-46144,-43389
355,VECTOR GROUP LTD,312230,n.a.,248447,232125,222265,242239,254546,213362,214913,199292,154933,n.a.,92938,100974,58105,84572,71127,59198,36856,37300,30622,n.a.,1343409,1505089,1549504,1328278,1404035,1280615,1423254,1260264,1086731,n.a.,488427,500982,716150,451842,550433,422344,595465,407000,475839,n.a.,283315,461133,484920,204639,196148,216292,212424,405110,195159,n.a.,5847,5138,5252,100,0,96,1743,52157,33568,n.a.,-17465,-24196,-18001,-17743,-22359,-20574,-19411,-11063,-10366
356,TRINITY INDUSTRIES INC,336510,n.a.,-116100,431000,315100,368300,478900,1438900,1251000,772900,574800,n.a.,-147300,137600,158700,700600,340000,796500,678200,375500,255100,n.a.,8701800,8701400,7989200,9543200,9125300,8885900,8695300,7313400,6669900,n.a.,132000,166200,179200,778600,563400,786000,887900,428500,573000,n.a.,568000,590800,580400,615400,582200,746400,1005000,783700,771300,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-266000,-283600,-251900,-229700,-217300,-266400,-244600,-211500,-193700
357,AMNEAL PHARMACEUTICALS; INC.,325412,n.a.,108401,-185507,236258,-428635,-486363,74135,94149,10158,95664,n.a.,91059,-361917,-168550,-469287,-472031,38997,57353,101259,55873,n.a.,4006033,3665890,4352736,1351300,1823018,1922487,1079197,996923,863970,n.a.,341378,151197,213394,181778,180133,340351,414856,413133,298918,n.a.,676902,550406,553850,354238,321324,326761,158699,153890,145295,n.a.,5538,8729,n.a.,n.a.,0,830,40,21186,1541,n.a.,-64917,-63283,-64417,-41049,-31948,-28437,-22943,-36006,-59088
358,BRUKER CORPORATION,334516,n.a.,265200,305300,277400,238800,206800,155500,123400,170700,158400,n.a.,157800,197200,179700,78600,153600,101600,56700,80100,77500,n.a.,3049000,2771500,2128600,1948500,1808400,1730000,1864800,1988300,1856400,n.a.,731800,684900,322400,439200,500300,468300,497500,438700,310600,n.a.,791900,645600,599300,524500,524700,554500,582700,648600,681800,n.a.,112300,52400,36800,26500,11300,25100,51200,26200,67800,n.a.,-44700,-37300,-36000,-34300,-32600,-32600,-39500,-40500,-37100
359,CHEESECAKE FACTORY INCORPORATED,722511,n.a.,-325610,108868,118948,152845,200993,165246,144731,160954,138699,n.a.,-266850,127293,99035,157392,139494,116523,101276,114356,98423,n.a.,2747054,2840593,1314133,1333060,1293319,1233346,1161376,1124114,1092167,n.a.,154085,58416,26578,6008,53839,43854,58018,61751,83569,n.a.,586067,614587,416500,397951,376526,350226,322011,264247,253034,n.a.,n.a.,0,712,0,2299,n.a.,n.a.,n.a.,1213,n.a.,-91415,-88133,-95976,-92729,-88010,-85563,-82835,-78558,-74433
360,ADVANCED DRAINAGE SYSTEMS; INC.,326122,n.a.,344525,-72453,129413,90254,76328,94334,58367,48327,57478,n.a.,218639,-204380,75725,60149,31304,23627,8019,-5758,19925,n.a.,2413832,2369888,1042159,1043242,1046285,1037316,1034685,989567,907739,n.a.,195009,174233,8891,17587,6450,6555,3623,3931,1361,n.a.,318270,238213,206285,221243,255754,252184,197605,185554,167145,n.a.,4703,2050,1758,6307,8207,2260,6052,7980,9511,n.a.,-71878,-67930,-64020,-66935,-63807,-61785,-55718,-53529,-53074
361,HAIN CELESTIAL GROUP INC (THE),311942,125687,101869,37644,136082,149373,132147,242182,226933,187918,144875,77364,-80407,-183314,9694,67430,47429,164962,129922,114656,79225,2205908,2188452,2582620,2946674,2931104,3008080,3099408,2965317,2258494,1673593,75871,37771,39526,106557,137055,127926,166922,123751,41263,29895,290434,300277,383157,422445,340494,357028,391355,424164,274130,202809,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4707,5074,-40638,-40450,-37764,-33973,-33558,-41145,-39534,-32782,-27697,-21309
362,B&G FOODS; INC.,311421,n.a.,276438,203836,340154,237911,252776,172370,115207,161428,150205,n.a.,131988,76389,172435,217463,109425,69090,40956,52343,59260,n.a.,3767570,3227590,3057795,3561038,3043505,2543620,1649353,1484343,1191968,n.a.,52182,11315,11648,206506,28833,5246,1490,4107,19219,n.a.,245652,216908,258462,201486,205695,134868,92692,105714,104278,n.a.,101,454,31624,139,3875,0,n.a.,n.a.,n.a.,n.a.,-44600,-40200,-35300,-31600,-23500,-17400,-14742,-14200,-10727
363,HNI CORPORATION,337214,n.a.,68175,153713,128698,93159,138921,175468,134627,106322,89571,n.a.,41917,110505,93377,89795,85577,105436,61471,63683,48967,n.a.,1418032,1452512,1401844,1391550,1330234,1263925,1239334,1134705,1077066,n.a.,117807,53169,78146,25363,38564,32800,37196,72281,49032,n.a.,439028,478705,434308,489703,463473,435900,457333,411584,389171,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-53420,-53022,-51064,-56494,-57200,-57564,-56722,-46621,-43360
364,DEXCOM; INC.,339112,n.a.,299500,142300,-186300,-42500,-63900,-57100,-21500,-28900,-55700,n.a.,493600,101100,-127100,-50200,-65600,-57600,-22400,-29800,-54500,n.a.,4290500,2395000,1916000,904100,402800,292000,184600,122500,106000,n.a.,2707700,1533300,1385600,548600,123700,115200,83600,54600,48700,n.a.,614100,360200,222400,138900,102400,66900,40600,32100,19500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-67100,-48700,-29100,-16100,-14400,-10300,-7800,-6400,-6100
365,GREEN PLAINS INC.,325199,n.a.,-122696,-141602,112432,51874,75191,68018,286274,107851,64885,n.a.,-108775,-166860,15923,61061,10663,7064,159504,43391,11779,n.a.,1578917,1698218,2216432,2784650,2506492,1917920,1821062,1532045,1349734,n.a.,233860,245977,251683,266651,304211,384867,425510,272027,254289,n.a.,452556,541791,833700,886261,594946,438669,511540,409197,432384,n.a.,n.a.,n.a.,0,9909,n.a.,n.a.,2907,696,n.a.,n.a.,-78044,-72127,-103619,-107361,-84226,-65950,-60362,-51002,-52828
366,CHAMPIONX CORP,333132,n.a.,-604955,106267,157689,105582,6050,110146,n.a.,n.a.,n.a.,n.a.,-743930,52164,92737,109589,-12751,51698,n.a.,n.a.,n.a.,n.a.,3475776,1922825,1973116,1906615,1850895,1983379,n.a.,n.a.,n.a.,n.a.,201421,35290,41832,23712,26027,10417,n.a.,n.a.,n.a.,n.a.,622560,199681,213752,150490,112694,127954,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-142647,-68600,-72600,-59200,-56125,-60831,n.a.,n.a.,n.a.
367,STEPAN COMPANY,325180,n.a.,172734,130004,151853,157909,134894,122790,94703,110193,128716,n.a.,126770,103129,111117,100774,86191,75968,57101,72785,78817,n.a.,1752336,1579367,1514614,1470861,1353890,1238392,1162014,1167202,985478,n.a.,349938,315383,300194,298894,225743,176143,85215,133347,76875,n.a.,416554,339114,338582,320253,297265,243244,249513,268993,247167,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-78239,-75302,-77645,-75311,-72122,-64169,-60963,-53568,-48778
368,TRIUMPH GROUP INC,336412,n.a.,-168225,130906,-8280,-317318,118190,-1018292,303173,431294,533878,n.a.,-450910,-29433,-327146,-425391,-42952,-1047960,238697,206256,297347,n.a.,2450935,2980333,2854574,3807064,4414600,4835093,5956325,5553386,5239179,n.a.,589882,485463,92807,35819,69633,20984,32617,28998,32037,n.a.,718367,987753,975275,992439,1334260,1135874,883237,640199,747246,n.a.,5084,3796,5974,n.a.,3873,2469,2516,n.a.,n.a.,n.a.,-71651,-89857,-97323,-101873,-123199,-122197,-108347,-117553,-93848
369,CLEARWATER PAPER CORP,322121,n.a.,161500,48300,-97909,71185,114764,123670,79811,99328,145387,n.a.,77100,-5600,-143767,97339,49554,55983,-2315,106955,64131,n.a.,1800400,1877700,1788118,1802252,1684342,1527369,1579149,1744825,1633456,n.a.,35900,20000,22484,15738,23001,5860,77331,93675,32579,n.a.,244800,280400,449295,419252,366520,227927,223741,199426,174733,n.a.,10500,7100,6243,6907,6946,5112,5622,6322,6993,n.a.,-107800,-108400,-94400,-97000,-86100,-84732,-90145,-90272,-74600
370,HEICO CORP,336412,392900,376648,457097,376245,306658,265345,229656,203388,183590,163294,304220,313984,327896,259233,185985,156192,133364,121293,102396,85147,3498407,3547711,2969211,2653396,2512431,1998412,1736387,1489214,1533015,1192846,108298,406852,57001,59599,52066,42955,33603,20229,15499,21451,294880,241161,289138,282429,249437,214421,168387,152220,161286,131514,964,1647,3050,2837,11650,4622,3193,2067,0,4564,-27804,-27067,-25758,-23239,-21878,-23877,-20907,-20057,-16190,-14456
371,BELDEN INC.,335921,n.a.,137668,233751,274492,275534,232083,138783,159164,192340,98793,n.a.,-55162,-395452,125963,58279,112575,66204,74449,103313,194490,n.a.,3139734,3406759,3779321,3840613,3806803,3290602,3260670,2751753,2584583,n.a.,501994,407480,420610,561108,848116,216751,741162,613304,395095,n.a.,520761,722544,716922,678928,570279,549263,523011,401566,452482,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-44424,-64650,-73492,-59462,-47208,-46600,-43736,-43648,-36563
372,BIOMARIN PHARMACEUTICAL INC,325412,n.a.,-36880,-95198,-129185,-25531,-799812,-114468,-100607,-154276,-93099,n.a.,859100,-23848,-77211,-117042,-630210,-171799,-133969,-176353,-114347,n.a.,5848020,4690039,4427128,4633125,4023690,3729368,2475379,2244060,1568347,n.a.,1065386,753807,1084308,1395968,789677,592619,945192,784723,447805,n.a.,492548,932503,523241,816518,439310,445457,235739,183271,170433,n.a.,9562,8395,7785,9740,7848,6377,5479,3603,2072,n.a.,-43677,-51800,-65371,-51700,-66712,-35500,-44300,-32764,-45295
373,ENTEGRIS INC,333318,n.a.,397145,241778,292689,241817,155536,118068,20072,92424,99444,n.a.,294969,254860,240755,85066,97147,80296,7887,74526,68825,n.a.,2917696,2516086,2317641,1976172,1699532,1646697,1762091,875294,811544,n.a.,580893,351911,482062,625408,406389,352006,394300,384426,350414,n.a.,302626,264433,269668,290971,261571,175550,262520,97585,93263,n.a.,43996,n.a.,31593,22835,16424,12775,13552,10373,5659,n.a.,-83430,-74975,-65116,-58208,-55623,-54305,-46637,-29468,-28013
374,SLEEP NUMBER CORP,337121,n.a.,184896,112095,92428,91915,76650,75096,101746,90154,125382,n.a.,139189,81845,69539,65077,51417,50519,67974,60081,78094,n.a.,800136,806043,470138,471834,457166,500897,474187,381765,342021,n.a.,4243,1593,1612,3651,11609,27561,121604,110382,139179,n.a.,655944,594774,488668,306389,225317,224949,187052,137182,133061,n.a.,23339,22171,18380,24234,23430,9856,10207,12517,9282,n.a.,-59563,-59866,-59966,-58291,-54672,-47630,-39809,-30811,-20401
375,CLEAR CHANNEL OUTDOOR HOLDINGS; INC.,541850,n.a.,-259414,252902,251803,232285,631936,261001,282444,290150,266986,n.a.,-582739,-363304,-218240,-644348,135070,-96072,-9590,-51026,-191568,n.a.,5755273,6393288,4522028,4670782,5718828,6306788,6346572,6759392,7105782,n.a.,785942,399735,183491,145839,541995,414697,189328,318407,566087,n.a.,1090206,1180524,729816,657512,641718,920613,717829,773590,811405,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-247421,-287924,-298952,-298091,-306324,-326762,-339443,-332270,-324064
376,ELEMENT SOLUTIONS INC.,325998,n.a.,232700,249100,248500,200200,89400,71600,12500,-194870,115389,n.a.,75700,92200,-324400,-296200,-73700,-308600,-262600,-194222,1372,n.a.,4483400,4324400,9401500,10252400,10054100,10190200,4547300,2260154,1233917,n.a.,291900,190100,233600,258400,422600,432200,397300,123040,143351,n.a.,314300,293800,1142500,1091700,1082700,1062400,240700,119673,128146,n.a.,n.a.,n.a.,n.a.,n.a.,82500,65100,16700,6669,4443,n.a.,-42400,-41500,-44700,-46400,-46700,-49000,-20600,-12778,-42193
377,KENNAMETAL INC,333517,142029,111097,342934,302206,159770,100330,204572,288540,296394,416409,54434,-5661,241925,200180,49138,-225968,-373896,158366,203265,307230,2665761,3037591,2656269,2925737,2415496,2362783,2849529,3868086,3301039,3034188,154047,606684,182015,556153,190629,161579,105494,177929,377316,116466,437394,898080,461726,886531,461478,427275,482744,562756,467593,578622,18059,27938,29223,18603,6202,16602,25237,16953,19471,39270,-112485,-106049,-97641,-94012,-91078,-96704,-104978,-104027,-92344,-87722
